1-A-bug-18353198-18353306,1,10,10,8,8,29,29,5,5,manual,NOREPAIR,5.288,,,,autogen,NOREPAIR,46.385,,,
104-A-bug-11691772-11691810,1,59,10,3,0,29,28,3,2,manual,NOREPAIR,15.576,,,,autogen,NOREPAIR,64.437,,,
104-A-bug-11691779-11691810,1,3159,6,5,0,48,48,2,2,manual,NOREPAIR,11.537,,,,autogen,NOREPAIR,48.467,,,
104-A-bug-11691794-11691810,1,15,10,8,8,32,16,5,5,manual,NOREPAIR,8.869,,,,autogen,REPAIR,17.294,11,25,25
104-A-bug-11939068-11939085,1,2959,7,4,0,47,47,2,2,manual,NOREPAIR,17.931,,,,autogen,NOREPAIR,66.129,,,
104-A-bug-13139540-13139570,1,19,10,6,6,32,20,5,5,manual,NOREPAIR,11.187,,,,autogen,NOREPAIR,52.626,,,
104-A-bug-14940180-14940203,1,2555,10,3,3,48,48,2,2,manual,NOREPAIR,32.803,,,,autogen,NOREPAIR,90.449,,,
104-A-bug-7900405-7900409,1,481,10,0,0,48,48,2,2,manual,NOREPAIR,23.020,,,,autogen,NOREPAIR,66.643,,,
11-B-bug-990723-990735,1,147,10,5,3,34,34,3,3,manual,NOREPAIR,39.780,,,,autogen,NOREPAIR,173.537,,,
110-A-bug-17970724-17970798,1,501,10,193,4,41,35,8,2,manual,REPAIR,74.094,23,34,34,autogen,NOREPAIR,173.630,,,
110-A-bug-17999868-17999967,1,18,10,5,3,41,22,7,3,manual,NOREPAIR,499.095,,,,autogen,NOREPAIR,116.007,,,
110-A-bug-17999892-17999967,1,3483,7,595,0,42,32,10,0,manual,NOREPAIR,487.165,,,,autogen,NOREPAIR,146.478,,,
110-A-bug-18060949-18061008,1,48,10,14,5,41,35,8,2,manual,REPAIR,308.634,23,34,34,autogen,NOREPAIR,174.276,,,
110-A-bug-18223116-18223122,1,2880,8,225,0,38,28,13,3,manual,REPAIR,13.558,19,34,34,autogen,NOREPAIR,146.702,,,
110-A-bug-18286939-18287093,1,12,10,9,9,38,36,6,4,manual,REPAIR,3.773,29,34,34,autogen,REPAIR,19.728,26,34,34
110-A-bug-18286951-18287093,1,15,10,10,9,38,36,6,4,manual,NOREPAIR,99.432,,,,autogen,REPAIR,18.333,26,34,34
112-B-bug-1097813-1097818,1,44,10,0,0,38,12,14,12,manual,NOREPAIR,6.274,,,,autogen,NOREPAIR,29.140,,,
112-B-bug-668250-668255,1,36,10,4,4,36,30,2,2,manual,NOREPAIR,9.902,,,,autogen,NOREPAIR,54.486,,,
112-B-bug-770703-770719,1,35,10,0,0,42,31,5,0,manual,NOREPAIR,14.830,,,,autogen,NOREPAIR,36.836,,,
112-B-bug-861875-861881,1,34,10,6,6,36,22,13,13,manual,NOREPAIR,9.608,,,,autogen,REPAIR,32.004,20,33,33
113-C-bug-683942-684032,1,13,10,7,7,66,32,4,4,manual,TIMEOUT,600,,,,autogen,TIMEOUT,600,,,
113-C-bug-684028-684032,1,21,10,8,5,91,19,6,6,manual,REPAIR,2.336,61,61,61,autogen,REPAIR,30.179,61,61,61
118-D-bug-6014277-6014404,1,21,10,0,0,47,30,10,10,manual,TIMEOUT,600,,,,autogen,TIMEOUT,600,,,
118-D-bug-6014278-6014404,1,17,10,1,2,47,40,10,3,manual,TIMEOUT,600,,,,autogen,VERIFICATIONFAILED,12.218,,,
118-D-bug-746182-746641,1,17,10,0,0,47,27,10,10,manual,TIMEOUT,600,,,,autogen,TIMEOUT,600,,,
118-D-bug-989663-989669,1,39,10,2,2,47,33,10,10,manual,TIMEOUT,600,,,,autogen,TIMEOUT,600,,,
118-D-bug-989666-989669,1,25,10,3,2,46,39,16,16,manual,TIMEOUT,600,,,,autogen,TIMEOUT,600,,,
119-A-bug-16521182-16521266,1,22,10,4,1,49,41,12,4,manual,REPAIR,459.494,15,45,45,autogen,????,9.147,,,
119-A-bug-16665499-16665611,1,15,10,4,3,48,34,14,10,manual,REPAIR,413.761,30,45,45,autogen,NOREPAIR,246.252,,,
121-C-bug-804156-804907,1,25,10,0,0,68,45,3,2,manual,REPAIR,0.854,64,64,64,autogen,REPAIR,42.345,47,64,64
122-A-bug-17968034-17968373,1,4514,5,139,0,62,60,4,2,manual,TIMEOUT,600,,,,autogen,NOREPAIR,293.055,,,
122-A-bug-18015599-18015631,1,2079,10,25,2,44,44,3,3,manual,NOREPAIR,33.988,,,,autogen,NOREPAIR,87.757,,,
122-A-bug-18026330-18026493,1,3388,6,483,0,40,28,15,3,manual,REPAIR,1.184,26,36,36,autogen,REPAIR,53.055,32,36,36
122-A-bug-18122874-18122948,1,626,10,21,3,40,36,7,3,manual,????,0.203,,,,autogen,REPAIR,92.309,34,36,36
122-A-bug-18122909-18122948,1,1789,10,31,2,69,67,4,2,manual,REPAIR,149.473,28,36,36,autogen,REPAIR,82.614,34,36,36
122-A-bug-18209616-18209912,1,2705,10,15,1,44,37,6,5,manual,NOREPAIR,18.952,,,,autogen,NOREPAIR,61.345,,,
122-A-bug-18209760-18209912,1,40,10,2,1,44,39,6,5,manual,NOREPAIR,14.692,,,,autogen,NOREPAIR,66.045,,,
122-A-bug-18209773-18209912,1,2900,10,6,1,62,60,4,2,manual,NOREPAIR,17.827,,,,autogen,NOREPAIR,69.215,,,
122-A-bug-18230727-18230742,1,1507,10,839,5,40,28,13,3,manual,NOREPAIR,44.754,,,,autogen,REPAIR,8.877,19,36,36
122-A-bug-18280368-18280476,1,2345,10,46,0,62,60,4,2,manual,NOREPAIR,190.089,,,,autogen,NOREPAIR,278.297,,,
122-B-bug-1446831-1446834,1,13,10,9,9,46,43,8,5,manual,NOREPAIR,400.097,,,,autogen,REPAIR,22.342,23,42,42
122-B-bug-5768530-5768538,1,22,8,2,2,55,44,5,2,manual,REPAIR,0.317,42,42,42,autogen,REPAIR,40.828,42,42,42
122-B-bug-9163596-9163642,1,18,10,5,3,47,20,14,8,manual,NOREPAIR,587.603,,,,autogen,NOREPAIR,308.497,,,
122-C-bug-8904375-8904400,1,10,10,5,5,43,33,29,29,manual,REPAIR,1.296,40,40,40,autogen,REPAIR,22.471,40,40,40
124-A-bug-16748308-16749061,1,10,10,10,10,54,32,32,32,manual,NOREPAIR,7.515,,,,autogen,NOREPAIR,50.939,,,
124-A-bug-17030725-17030795,1,19,10,9,8,55,30,30,30,manual,NOREPAIR,489.829,,,,autogen,NOREPAIR,196.271,,,
124-A-bug-17030750-17030795,1,13,10,8,7,53,19,34,16,manual,REPAIR,1.152,35,50,50,autogen,NOREPAIR,214.003,,,
124-A-bug-17380518-17380581,1,18,10,7,6,55,43,16,13,manual,NOREPAIR,2.344,,,,autogen,NOREPAIR,21.315,,,
124-A-bug-17548415-17548499,1,15,10,6,6,55,16,16,16,manual,NOREPAIR,3.568,,,,autogen,NOREPAIR,20.996,,,
124-A-bug-17684079-17684114,1,16,10,8,8,55,46,16,8,manual,NOREPAIR,5.212,,,,autogen,NOREPAIR,41.268,,,
124-A-bug-18071122-18071213,1,10,10,10,10,53,47,47,47,manual,NOREPAIR,4.934,,,,autogen,NOREPAIR,45.571,,,
124-A-bug-18216134-18216197,1,10,10,8,8,53,34,35,34,manual,NOREPAIR,5.142,,,,autogen,NOREPAIR,42.691,,,
129-E-bug-7156869-7156872,1,51,10,7,5,66,47,29,12,manual,TIMEOUT,600,,,,autogen,VERIFICATIONFAILED,20.067,,,
131-C-bug-7900700-7900757,1,28,10,7,5,47,24,26,5,manual,REPAIR,162.534,22,39,39,autogen,NOREPAIR,292.074,,,
131-C-bug-8286919-8286937,1,15,10,3,3,47,36,26,24,manual,TIMEOUT,600,,,,autogen,TIMEOUT,600,,,
136-B-bug-3414703-3414706,1,10,10,8,8,105,102,101,101,manual,????,0.491,,,,autogen,TIMEOUT,600,,,
140-A-bug-10658248-10658284,1,15,10,1,1,54,54,2,2,manual,NOREPAIR,18.729,,,,autogen,NOREPAIR,82.791,,,
